               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.072837,            0.023695,            0.047315,             0.53131,             0.33571,             0.18499,            0.039536,            0.086371,             0.01821,            0.057274,           0.0070053,           0.0070053,           0.0070053
                 123,            0.071357,            0.022916,            0.048523,             0.49439,             0.27321,             0.18724,            0.053471,            0.089297,            0.017361,             0.05531,           0.0069805,           0.0069805,           0.0069805
                 124,            0.075229,            0.024712,            0.048157,             0.54487,             0.21071,             0.27309,             0.12201,            0.084026,            0.016256,             0.05633,           0.0069558,           0.0069558,           0.0069558
                 125,             0.07223,            0.026418,            0.045934,             0.41613,             0.14107,            0.059134,            0.022866,            0.089011,             0.01782,             0.05691,            0.006931,            0.006931,            0.006931
                 126,            0.072326,            0.024076,            0.049536,             0.37699,             0.13036,           0.0019883,          0.00045065,             0.10988,             0.02112,            0.078795,           0.0069063,           0.0069063,           0.0069063
                 127,            0.074254,            0.026047,            0.047037,             0.63913,              0.0625,             0.01645,            0.006033,             0.09088,            0.018917,            0.059818,           0.0068815,           0.0068815,           0.0068815
                 128,            0.071546,            0.024525,            0.047356,             0.90303,            0.077697,             0.11029,            0.039743,            0.085901,            0.017096,            0.056061,           0.0068568,           0.0068568,           0.0068568
                 129,            0.071895,            0.023572,            0.047837,             0.85726,            0.080357,             0.13869,            0.057264,            0.084539,             0.01629,            0.055073,            0.006832,            0.006832,            0.006832
                 130,            0.071866,            0.024623,            0.046419,              0.6948,             0.16071,             0.16238,              0.0682,            0.082235,            0.016818,            0.055138,           0.0068073,           0.0068073,           0.0068073
                 131,            0.069989,            0.022802,            0.047868,             0.75523,              0.0625,             0.01092,            0.002976,             0.10666,            0.042557,            0.078626,           0.0067825,           0.0067825,           0.0067825
                 132,            0.071775,            0.024658,            0.045676,             0.92553,             0.15217,             0.13638,            0.036024,            0.093492,            0.021907,            0.060094,           0.0067577,           0.0067577,           0.0067577
                 133,            0.071669,            0.023057,            0.045038,             0.81626,             0.14286,             0.12281,            0.026863,            0.086523,            0.016914,             0.05578,            0.006733,            0.006733,            0.006733
                 134,            0.074424,            0.025523,            0.048312,             0.55827,             0.21071,             0.31681,             0.10085,            0.084604,            0.016548,            0.055958,           0.0067082,           0.0067082,           0.0067082
                 135,            0.071479,            0.025305,            0.047649,             0.49028,             0.31071,             0.28327,             0.10709,            0.083354,             0.01598,            0.055701,           0.0066835,           0.0066835,           0.0066835
                 136,            0.068836,            0.022046,            0.045652,             0.47364,             0.31071,             0.25256,            0.098923,            0.083235,            0.016682,            0.056992,           0.0066587,           0.0066587,           0.0066587
                 137,            0.071583,            0.022579,             0.04565,             0.50201,             0.29286,             0.28829,             0.12075,            0.084973,            0.016132,            0.055873,            0.006634,            0.006634,            0.006634
                 138,             0.07079,            0.022952,            0.045081,             0.76396,             0.16071,             0.36967,              0.2033,            0.082923,            0.016054,            0.055788,           0.0066092,           0.0066092,           0.0066092
                 139,             0.07274,             0.02509,             0.04649,             0.89838,             0.16071,             0.38577,             0.16153,            0.082664,            0.015945,            0.055269,           0.0065845,           0.0065845,           0.0065845
                 140,            0.072697,            0.027246,            0.045499,             0.55929,             0.35357,             0.37966,             0.14703,            0.082047,            0.015547,            0.053498,           0.0065598,           0.0065598,           0.0065598
                 141,             0.07545,            0.026192,            0.047461,             0.51386,             0.29286,             0.23763,            0.099627,            0.088847,            0.020691,            0.056805,            0.006535,            0.006535,            0.006535
                 142,            0.073026,            0.022406,            0.044887,             0.50324,             0.31071,             0.19985,             0.10674,            0.088338,            0.018505,            0.056052,           0.0065102,           0.0065102,           0.0065102
                 143,            0.071688,            0.023059,             0.04482,              0.9135,            0.098214,             0.24926,            0.079885,            0.084778,             0.01635,            0.054957,           0.0064855,           0.0064855,           0.0064855
                 144,            0.073134,             0.02384,            0.045783,             0.71101,             0.17857,             0.19372,            0.061118,            0.082594,            0.015538,            0.052801,           0.0064608,           0.0064608,           0.0064608
                 145,             0.07108,            0.023957,            0.045027,             0.86544,            0.080357,             0.21164,            0.074946,            0.088836,            0.017421,            0.059472,            0.006436,            0.006436,            0.006436
